region_observation_id,country_id,region_id,region_indicator_id,year,value,unit,value_status,source_name,source_url,source_reliability,calculation_method,last_updated,notes
"poland_greater_poland_regional_gdp_per_capita_change_pct_2024","poland","poland_greater_poland","regional_gdp_per_capita_change_pct","2024","45.96","%","计算值","Eurostat regional statistics","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10r_3gdp?unit=MIO_EUR | https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_r_pjanaggr3?sex=T&age=TOTAL&unit=NR","A","(value_2024 / value_2021 - 1) * 100; start_year=2021; end_year=2024; source_indicator=regional_gdp_per_capita.","2026-08-15","Historical factual change, not a forecast, risk score, or performance rating."
"poland_greater_poland_regional_unemployment_change_pp_2024","poland","poland_greater_poland","regional_unemployment_change_pp","2024","0","百分点","计算值","Eurostat regional labour market statistics","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/lfst_r_lfu3rt?sex=T&age=Y15-74&isced11=TOTAL&unit=PC&sinceTimePeriod=2021&untilTimePeriod=2024&lang=en","A","value_2024 - value_2021; start_year=2021; end_year=2024; source_indicator=regional_unemployment_rate.","2026-08-15","Historical factual change, not a forecast, risk score, or performance rating."
"poland_west_pomeranian_regional_population_change_pct_2024","poland","poland_west_pomeranian","regional_population_change_pct","2024","-1.88","%","计算值","Eurostat regional statistics","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_r_pjanaggr3?sex=T&age=TOTAL&unit=NR","A","(value_2024 / value_2021 - 1) * 100; start_year=2021; end_year=2024; source_indicator=regional_population.","2026-08-15","Historical factual change, not a forecast, risk score, or performance rating."
"poland_west_pomeranian_regional_gdp_per_capita_change_pct_2024","poland","poland_west_pomeranian","regional_gdp_per_capita_change_pct","2024","43.53","%","计算值","Eurostat regional statistics","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10r_3gdp?unit=MIO_EUR | https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_r_pjanaggr3?sex=T&age=TOTAL&unit=NR","A","(value_2024 / value_2021 - 1) * 100; start_year=2021; end_year=2024; source_indicator=regional_gdp_per_capita.","2026-08-15","Historical factual change, not a forecast, risk score, or performance rating."
"poland_west_pomeranian_regional_unemployment_change_pp_2024","poland","poland_west_pomeranian","regional_unemployment_change_pp","2024","-0.8","百分点","计算值","Eurostat regional labour market statistics","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/lfst_r_lfu3rt?sex=T&age=Y15-74&isced11=TOTAL&unit=PC&sinceTimePeriod=2021&untilTimePeriod=2024&lang=en","A","value_2024 - value_2021; start_year=2021; end_year=2024; source_indicator=regional_unemployment_rate.","2026-08-15","Historical factual change, not a forecast, risk score, or performance rating."
"hungary_budapest_regional_population_change_pct_2024","hungary","hungary_budapest","regional_population_change_pct","2024","-0.25","%","计算值","Eurostat regional statistics","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_r_pjanaggr3?sex=T&age=TOTAL&unit=NR","A","(value_2024 / value_2021 - 1) * 100; start_year=2021; end_year=2024; source_indicator=regional_population.","2026-08-15","Historical factual change, not a forecast, risk score, or performance rating."
"hungary_budapest_regional_gdp_per_capita_change_pct_2024","hungary","hungary_budapest","regional_gdp_per_capita_change_pct","2024","40.04","%","计算值","Eurostat regional statistics","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10r_3gdp?unit=MIO_EUR | https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_r_pjanaggr3?sex=T&age=TOTAL&unit=NR","A","(value_2024 / value_2021 - 1) * 100; start_year=2021; end_year=2024; source_indicator=regional_gdp_per_capita.","2026-08-15","Historical factual change, not a forecast, risk score, or performance rating."
"hungary_bacs_kiskun_regional_population_change_pct_2024","hungary","hungary_bacs_kiskun","regional_population_change_pct","2024","-1.27","%","计算值","Eurostat regional statistics","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_r_pjanaggr3?sex=T&age=TOTAL&unit=NR","A","(value_2024 / value_2021 - 1) * 100; start_year=2021; end_year=2024; source_indicator=regional_population.","2026-08-15","Historical factual change, not a forecast, risk score, or performance rating."
"hungary_bacs_kiskun_regional_gdp_per_capita_change_pct_2024","hungary","hungary_bacs_kiskun","regional_gdp_per_capita_change_pct","2024","26.6","%","计算值","Eurostat regional statistics","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10r_3gdp?unit=MIO_EUR | https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_r_pjanaggr3?sex=T&age=TOTAL&unit=NR","A","(value_2024 / value_2021 - 1) * 100; start_year=2021; end_year=2024; source_indicator=regional_gdp_per_capita.","2026-08-15","Historical factual change, not a forecast, risk score, or performance rating."
"hungary_baranya_regional_population_change_pct_2024","hungary","hungary_baranya","regional_population_change_pct","2024","-1.72","%","计算值","Eurostat regional statistics","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_r_pjanaggr3?sex=T&age=TOTAL&unit=NR","A","(value_2024 / value_2021 - 1) * 100; start_year=2021; end_year=2024; source_indicator=regional_population.","2026-08-15","Historical factual change, not a forecast, risk score, or performance rating."
