check_id,country_id,indicator_id,year,value,unit,status,source_name,source_url,source_reliability_level,updated_at,is_official_data,is_pending,is_computed,is_manual,included_in_derived_comparison,included_in_five_year_change,included_in_mean_gap,included_in_rank_change,missing_reason,note
"v4_quality:hungary:government_expenditure_gdp:2025","hungary","government_expenditure_gdp","2025","47.3","% GDP","official","Eurostat","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_main?unit=PC_GDP&sector=S13&na_item=TE&geo=HU&time=2025","A","2026-04-22","true","false","false","false","true","true","true","true","",""
"v4_quality:hungary:exports_mio_eur:2021","hungary","exports_mio_eur","2021","123065.3","百万欧元","official","Eurostat","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10_gdp?unit=CP_MEUR&na_item=P6&geo=HU&time=2021","A","2026-07-02","true","false","false","false","true","true","true","true","",""
"v4_quality:hungary:exports_mio_eur:2022","hungary","exports_mio_eur","2022","151371.5","百万欧元","official","Eurostat","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10_gdp?unit=CP_MEUR&na_item=P6&geo=HU&time=2022","A","2026-07-02","true","false","false","false","true","true","true","true","",""
"v4_quality:hungary:exports_mio_eur:2023","hungary","exports_mio_eur","2023","160320.1","百万欧元","official","Eurostat","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10_gdp?unit=CP_MEUR&na_item=P6&geo=HU&time=2023","A","2026-07-02","true","false","false","false","true","true","true","true","",""
"v4_quality:hungary:exports_mio_eur:2024","hungary","exports_mio_eur","2024","157086.7","百万欧元","official","Eurostat","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10_gdp?unit=CP_MEUR&na_item=P6&geo=HU&time=2024","A","2026-07-02","true","false","false","false","true","true","true","true","",""
"v4_quality:hungary:exports_mio_eur:2025","hungary","exports_mio_eur","2025","158940","百万欧元","official","Eurostat","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10_gdp?unit=CP_MEUR&na_item=P6&geo=HU&time=2025","A","2026-07-02","true","false","false","false","true","true","true","true","",""
"v4_quality:hungary:imports_mio_eur:2021","hungary","imports_mio_eur","2021","123630.4","百万欧元","official","Eurostat","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10_gdp?unit=CP_MEUR&na_item=P7&geo=HU&time=2021","A","2026-07-02","true","false","false","false","true","true","true","true","",""
"v4_quality:hungary:imports_mio_eur:2022","hungary","imports_mio_eur","2022","160388.2","百万欧元","official","Eurostat","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10_gdp?unit=CP_MEUR&na_item=P7&geo=HU&time=2022","A","2026-07-02","true","false","false","false","true","true","true","true","",""
"v4_quality:hungary:imports_mio_eur:2023","hungary","imports_mio_eur","2023","152133.2","百万欧元","official","Eurostat","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10_gdp?unit=CP_MEUR&na_item=P7&geo=HU&time=2023","A","2026-07-02","true","false","false","false","true","true","true","true","",""
"v4_quality:hungary:imports_mio_eur:2024","hungary","imports_mio_eur","2024","147873.3","百万欧元","official","Eurostat","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10_gdp?unit=CP_MEUR&na_item=P7&geo=HU&time=2024","A","2026-07-02","true","false","false","false","true","true","true","true","",""
